,numer_sta,date,dd,ff,t,ww,rr3,rr6,rr12,rr24,hour,DATE,ff_X,ff_Y,ff_weekly,ff24,rr_weekly,rr_monthly
1831,7650,20181011120000,120,6.9,297.85,0,0.0,0.0,0.0,50.2,120000,2018-10-11,-3.449999999999999,5.975575286112628,108.28469562690304,12.59137723004506,126.5,129.9
1832,7650,20181012120000,170,2.5,296.85,0,0.0,0.0,0.0,0.0,120000,2018-10-12,-2.4620193825305203,0.43412044416732565,115.79096123821633,16.72456716426892,126.5,129.9
1833,7650,20181013120000,150,5.4,298.35,0,0.0,0.0,0.0,0.0,120000,2018-10-13,-4.676537180435969,2.6999999999999997,110.8442243967181,25.22619018035754,126.5,129.5
1834,7650,20181014120000,130,8.1,296.35,0,0.0,0.0,0.0,0.0,120000,2018-10-14,-5.206579638460967,6.204959989263722,97.99030231791484,31.80300626655185,84.80000000000001,129.5
1835,7650,20181015120000,100,8.9,295.95,0,-0.1,0.2,0.2,0.2,120000,2018-10-15,-1.5454687812356798,8.764789001808651,87.04732681712056,44.731715652271475,85.1,129.7
1836,7650,20181016120000,350,2.1,293.15,0,1.8,2.8,3.8,10.0,120000,2018-10-16,2.0680962813256367,-0.3646611731005557,91.30883240602257,43.21303300576299,82.0,138.5
1837,7650,20181017120000,250,3.5,294.55,0,0.0,-0.1,1.4,3.0,120000,2018-10-17,-1.1970705016398426,-3.288924172750679,89.88922828455482,33.46744812199445,63.400000000000006,140.9
1838,7650,20181018120000,260,2.4,294.75,0,0.0,0.2,0.4,5.9,120000,2018-10-18,-0.4167556264006328,-2.363538607229299,91.2121887797734,24.726417765333622,19.1,146.8
1839,7650,20181019120000,260,2.6,296.35,0,0.0,0.0,0.0,0.0,120000,2018-10-19,-0.4514852619340189,-2.560500157831741,89.81238676295796,16.84104797415883,19.1,146.8
1840,7650,20181020120000,230,1.7,294.35,0,0.0,0.0,0.0,0.0,120000,2018-10-20,-1.0927389364671172,-1.3022755533022623,90.09677019262695,14.74434085962503,19.1,146.8
1841,7650,20181021120000,280,4.9,293.95,0,0.0,0.0,0.2,0.2,120000,2018-10-21,0.8508760705679569,-4.82555798975982,93.33846053820838,6.996120222749849,19.3,147.00000000000003
1842,7650,20181022120000,260,2.7,290.45,0,0.0,0.0,-0.1,-0.1,120000,2018-10-22,-0.4688500797007119,-2.6589809331329617,100.32999747211991,8.889981456004204,19.0,146.9
1843,7650,20181023120000,300,4.4,292.35,0,0.0,0.0,0.0,0.0,120000,2018-10-23,2.2,-3.81051177665153,106.31101547461797,21.22745395941183,9.0,146.9
1844,7650,20181024120000,330,9.7,294.45,0,0.0,0.0,0.0,0.0,120000,2018-10-24,8.400446416709052,-4.850000000000004,110.02051290342368,26.826703529356028,6.0,146.9
1845,7650,20181025120000,270,1.5,293.85,0,0.0,0.0,0.0,0.0,120000,2018-10-25,-2.755455298081545e-16,-1.5,109.08353997102775,25.519196622136036,0.1,147.0
1846,7650,20181026120000,260,2.9,295.05,0,0.0,0.2,0.4,0.4,120000,2018-10-26,-0.503579715234098,-2.855942483735403,106.26742408386316,25.950366776541415,0.5,146.4
1847,7650,20181027120000,310,6.9,286.45,0,-0.1,-0.1,-0.1,-0.1,120000,2018-10-27,4.435234506837121,-5.285706657520949,113.27118195234793,30.411237419923452,0.4,145.9
1848,7650,20181029120000,310,6.5,283.45,0,-0.1,22.6,30.1,31.5,120000,2018-10-29,4.178119462962505,-4.979288880273358,119.46540551807108,36.20856175814388,31.7,177.5
1849,7650,20181030120000,110,3.9,284.85,61,-0.1,-0.1,0.2,25.0,120000,2018-10-30,-1.3338785589701079,3.664801221065043,115.60215987308172,27.965460069708186,56.8,202.5
1850,7650,20181031120000,90,7.9,289.25,0,2.0,5.2,19.5,24.1,120000,2018-10-31,4.837354856632045e-16,7.9,100.54777823518465,20.957507463519725,80.9,226.6
1851,7650,20181102120000,10,1.4,289.85,0,0.0,-0.1,3.7,6.9,120000,2018-11-02,1.378730854217091,0.24310744873370244,86.65508882937445,18.242600137380183,87.8,233.5
1852,7650,20181103120000,250,1.7,290.15,0,0.0,1.2,1.4,1.4,120000,2018-11-03,-0.5814342436536378,-1.597477455336044,74.83296375927623,8.763892514245507,89.2,234.9
1853,7650,20181104120000,280,1.7,287.05,0,0.0,0.0,0.0,0.0,120000,2018-11-04,0.29520190203378094,-1.6741731801207538,81.754135086636,9.106641422634349,88.8,234.9
1854,7650,20181105120000,120,5.3,291.85,0,-0.1,-0.1,-0.1,-0.1,120000,2018-11-05,-2.6499999999999986,4.589934640057526,75.27030947726773,6.3974553249626895,88.80000000000001,234.8
1855,7650,20181106120000,160,6.8,291.05,0,1.2,11.3,21.4,23.6,120000,2018-11-06,-6.389909821344176,2.325736974614548,75.85341571253146,11.649830593234036,80.9,216.70000000000002
