,LIEU_VILLE,LIEU_CODE_POSTAL,LIEU_COORD_GPS_X,LIEU_COORD_GPS_Y,NOM_ZONE,TYPE_LIEU_V2_1,TYPE_LIEU_V2_2,TYPE_DECHET,SURFACE,DATE,VOLUME_TOTAL,dd,ff24,ff_weekly,t,ww,rr24,rr_weekly,rr_monthly,NB_DECHET_SECTEUR_ALIMENTATION,NB_DECHET_SECTEUR_TABAC,NB_DECHET_SECTEUR_PHARMACEUTIQUE/PARAMÉDICAL,wind_flow,saison
265,Marseille,13008,5.367350821,43.24521152,Pointe Rouge,Littoral (terrestre),Port,Présent au sol (abandonné) ou échoué,6124.595188,2022-10-08,980,290.0,32.904071812785695,203.9397838242018,294.45,0.0,1.0,1.4,1.2,410,1000,13,O,Automne
266,Marseille,13003,5.375369002,43.31316302,Boulevard National,Zone urbaine,"Route, rue, place",Présent au sol (abandonné),13888.35397,2023-01-15,7265,260.0,29.48183011232809,194.8743373139362,285.25,0.0,0.0,-0.09999999999999998,14.399999999999999,5962,5000,0,OSO,Hiver
267,Marseille,13006,5.371127498,43.28437449,Notre Dame de la Garde,Zone urbaine,"Parc urbain, Jardin public",Présent au sol (abandonné),61591.1726,2023-02-12,4762,300.0,11.628610596619607,109.90903234649134,283.05,0.0,0.0,6.3,18.0,2978,30032,88,ONO,Hiver
268,Marseille,13007,5.348620067,43.28026932,Anse de Malmousque et ses alentours,Mer-Océan,Mer-Océan,Flottant,33946.37722,2023-03-05,39.5,260.0,36.85351950675501,247.00542927708838,283.75,0.0,0.0,10.4,28.3,6,0,0,OSO,Printemps
269,Marseille,13007,5.349622998,43.28139599,Plateau de Malmousque et ses alentours,Littoral (terrestre),Multi-Lieux,Présent au sol (abandonné) ou échoué,79400.33468,2023-03-05,1661,260.0,36.85351950675501,247.00542927708838,283.75,0.0,0.0,10.4,28.3,402,6011,23,OSO,Printemps
270,Marseille,13008,5.342997017,43.21490014,Plage de la Maronaise,Littoral (terrestre),"Plage (sable, galets, gravillons)",Présent au sol (abandonné) ou échoué,1379.876103,2022-12-05,18.3,,,,,,,,,173,58,20,,Hiver
271,Marseille,13006,5.371113016,43.28433024,Colline de la Notre Dame de la Garde,Zone urbaine,"Parc urbain, Jardin public",Présent au sol (abandonné),60284.42014,2022-09-28,57,280.0,45.95466583828771,182.39459768099206,295.95,0.0,0.2,30.8,34.2,248,2503,7,O,Automne
272,Marseille,13008,5.367022528,43.24514273,Club de Voile Pointe Rouge,Littoral (terrestre),Digue et ouvrage,Présent au sol (abandonné) ou échoué,4514.954027,2023-01-22,800,330.0,65.13654146867309,206.36479039047813,279.25,0.0,0.0,1.0999999999999999,1.3,135,174,2,NO,Hiver
273,Marseille,13007,5.299521759,43.26982761,Plage de Pomègues,Littoral (terrestre),"Plage (sable, galets, gravillons)",Echoué,491.9193969,2023-01-20,22.91,330.0,49.940931052201,204.06051140031198,280.55,10.0,0.0,1.0999999999999999,1.3,148,41,7,NO,Hiver
274,Marseille,13007,5.318979402,43.2847957,Calanque de L'Eoube,Littoral (terrestre),"Plage (sable, galets, gravillons)",Présent au sol (abandonné) ou échoué,1047.738429,2022-11-25,1165,240.0,47.6116296384474,253.3371311907553,288.65,0.0,-0.1,7.3999999999999995,80.69999999999999,89,3,0,SO,Automne
275,Marseille,13007,5.3620065,43.273192,Plage du prophète,Littoral (terrestre),"Plage (sable, galets, gravillons)",Présent au sol (abandonné) ou échoué,6887.835321,2023-01-25,125,330.0,67.95793658002053,204.07094905861447,281.05,0.0,0.0,0.0,1.3,38,25,7,NO,Hiver
276,Marseille,13015,5.353263698,43.35974235,Parc Foresta,Zone urbaine,"Parc urbain, Jardin public",Présent au sol (abandonné),47329.45672,2023-03-26,3225,320.0,20.541100729790358,183.9368418450922,290.15,0.0,0.0,0.0,16.0,1041,0,31,NO,Printemps
277,Marseille,13055,5.374567509,43.25478507,Plages du Prado,Littoral (terrestre),Digue et ouvrage,Présent au sol (abandonné) ou échoué,43938,2022-02-23,856,250.0,66.49953191703518,178.08859916706018,290.05,0.0,0.0,0.4,34.0,,,,OSO,Hiver
278,Marseille,13055,5.3064394,43.27548224,"Isles du Frioul, Marseille",Littoral (terrestre),Rocher et crique,Présent au sol (abandonné) ou échoué,1693402,2022-05-28,960,330.0,30.56143924706909,121.07534004276722,300.55,0.0,0.0,-0.2,9.100000000000001,,,,NO,Printemps
279,Marseille,13055,5.290571451,43.35772396,Plage de Corbières,Littoral (terrestre),"Plage (sable, galets, gravillons)",Présent au sol (abandonné) ou échoué,15129,2022-06-03,615.5,60.0,11.028151509690325,76.9793126205886,303.25,0.0,0.4,2.9999999999999982,36.9,,,,ENE,Eté
280,Marseille,13055,5.380967259,43.26011638,Parc Borély,Zone urbaine,"Parc urbain, Jardin public",Présent au sol (abandonné),9103,2022-06-22,9.6,110.0,48.737488619058716,91.29038304941041,299.25,0.0,1.4,1.399999999999998,4.299999999999999,,,,ESE,Eté
281,Marseille,13055,5.303459466,43.36088146,Thalassanté,Littoral (terrestre),Port,Présent au sol (abandonné),20169,2022-07-24,4840,270.0,32.47726810093663,269.804969891632,307.75,0.0,0.0,0.0,2.2,,,,O,Eté
282,Marseille,13055,5.293757021,43.35875869,Plage de la Lave,Littoral (terrestre),Digue et ouvrage,Présent au sol (abandonné) ou échoué,4136,2022-09-29,958.5,280.0,46.71636035068012,179.8439980558943,293.55,0.0,0.0,29.8,34.2,,,,O,Automne
283,Marseille,13055,5.373103023,43.2630511,Plage du Prado,Littoral (terrestre),"Parc urbain, Jardin public",Présent au sol (abandonné),22471,2022-07-13,38.7,190.0,23.162459855061705,266.84648806283997,303.45,0.0,0.0,0.0,3.6,,,,S,Eté
